"Vremenska oznaka","Natjecanje","Jeste li član ribičkog kluba?","OIB","Ime","Prezime","Datum rođenja","Državljanstvo","Mjesto rođenja","Adresa stanovanja","Email adresa","Telefon","Opis prijave"
"2019/06/15 1:45:49 PM EET","Test","Da","123","","","","","","","","","prijava"
"2019/06/15 1:46:41 PM EET","Test","Ne","213911234","Mirko","Lovac","2019-06-04","HR","VZ","adresa 123","sara.kisic97@gmail.com","13456","prijava"
"2019/06/15 1:45:49 PM EET","Dravolov 2019","Da","111111111","","","","","","","","","prijava"
"2019/06/15 1:46:41 PM EET","Dravolov 2019","Ne","213923234","Franc","Lovac","2019-06-04","HR","VZ","adresa 123","sara.kisic97@gmail.com","13456","prijava"
"2019/06/15 1:45:49 PM EET","Super Lovci 018","Da","222222222","","","","","","","","","prijava"
"2019/06/15 1:46:41 PM EET","Super Lovci 018","Ne","211111234","Stefek","Lovac","2019-06-04","HR","VZ","adresa 123","sara.kisic97@gmail.com","13456","prijava"
"2019/06/15 1:45:49 PM EET","Keder 2019","Da","333333333","","","","","","","","","prijava"
"2019/06/15 1:46:41 PM EET","Super Lovci 018","Ne","21341234","Serik","Lak","2019-06-04","HR","VZ","adresa 123","sara.kisic97@gmail.com","13456","prijava"
"2019/06/15 1:45:49 PM EET","Dravolov 2019","Da","444444444","","","","","","","","","prijava"
"2019/06/15 1:46:41 PM EET","Junior lov 2019","Ne","11111234","Mario","Markovic","2019-06-04","HR","VZ","adresa 123","sara.kisic97@gmail.com","13456","prijava"
"2019/06/15 1:45:49 PM EET","Mali lov","Da","555555555","","","","","","","","","prijava"
"2019/06/15 1:46:41 PM EET","Dravolov 2019","Ne","213923234","Velimir","Velic","2019-06-04","HR","VZ","adresa 123","sara.kisic97@gmail.com","13456","prijava"
"2019/06/15 1:45:49 PM EET","Mali lov","Da","666666666","","","","","","","","","prijava"
"2019/06/15 1:46:41 PM EET","Junior lov 2019","Ne","213431234","Vojko","Begovic","2019-06-04","HR","VZ","adresa 123","sara.kisic97@gmail.com","13456","prijava"
"2019/06/15 1:45:49 PM EET","Dravolov 2019","Da","123456789","","","","","","","","","prijava"
"2019/06/15 1:46:41 PM EET","Keder 2019","Ne","213922334","Selko","Makovic","2019-06-04","HR","VZ","adresa 123","sara.kisic97@gmail.com","13456","prijava"
"2019/06/15 1:45:49 PM EET","Super Lovci 018","Da","123456788","","","","","","","","","prijava"
"2019/06/15 1:46:41 PM EET","Junior lov 2019","Ne","213911234","Ratko","Beg","2019-06-04","HR","VZ","adresa 123","sara.kisic97@gmail.com","13456","prijava"
"2019/06/15 1:45:49 PM EET","Dravolov 2019","Da","1111111111","","","","","","","","","prijava"
"2019/06/15 1:46:41 PM EET","Super Lovci 018","Ne","213311234","Mali","Beg","2019-06-04","HR","VZ","adresa 123","sara.kisic97@gmail.com","13456","prijava"
"2019/06/15 1:45:49 PM EET","Dravolov 2019","Da","222222222","","","","","","","","","prijava"
"2019/06/15 1:46:41 PM EET","Keder 2019","Ne","213944234","Veliki","Beg","2019-06-04","HR","VZ","adresa 123","sara.kisic97@gmail.com","13456","prijava"
